source,target
REO_Speedwagon,Pat_Benatar
REO_Speedwagon,Styx_(band)
REO_Speedwagon,Tesla_(band)
REO_Speedwagon,Chicago_(band)
REO_Speedwagon,Status_Quo_(band)
REO_Speedwagon,Eagles_(band)
REO_Speedwagon,Ted_Nugent
REO_Speedwagon,Journey_(band)
REO_Speedwagon,Def_Leppard
REO_Speedwagon,38_Special_(band)
REO_Speedwagon,Loverboy
REO_Speedwagon,The_Doors
Nirvana_(band),Sonic_Youth
Nirvana_(band),Beck
Nirvana_(band),Paul_McCartney
Nirvana_(band),R.E.M.
Nirvana_(band),Led_Zeppelin
Nirvana_(band),Foo_Fighters
Nirvana_(band),Black_Sabbath
Nirvana_(band),Aerosmith
Nirvana_(band),Creedence_Clearwater_Revival
Nirvana_(band),Iggy_Pop
Nirvana_(band),Pixies_(band)
Nirvana_(band),Slayer
Nirvana_(band),Soundgarden
Nirvana_(band),David_Bowie
Nirvana_(band),Alice_in_Chains
Nirvana_(band),Joan_Jett
Black_Sabbath,"Emerson,_Lake_&_Palmer"
Black_Sabbath,Dio_(band)
Black_Sabbath,Yes_(band)
Black_Sabbath,Queen_(band)
Black_Sabbath,Megadeth
Black_Sabbath,Rage_Against_the_Machine
Black_Sabbath,Primus_(band)
Black_Sabbath,Disturbed_(band)
Black_Sabbath,Nirvana_(band)
Black_Sabbath,System_of_a_Down
Black_Sabbath,John_Mayall_&_the_Bluesbreakers
Black_Sabbath,Deep_Purple
Black_Sabbath,White_Zombie_(band)
Black_Sabbath,Jethro_Tull_(band)
Black_Sabbath,Cheap_Trick
Black_Sabbath,John_Lennon
Black_Sabbath,Alice_in_Chains
Black_Sabbath,Sonic_Youth
Black_Sabbath,Pantera
Black_Sabbath,Duran_Duran
Black_Sabbath,Neil_Young
Black_Sabbath,Van_Halen
Black_Sabbath,Lamb_of_God_(band)
Black_Sabbath,Fleetwood_Mac
Black_Sabbath,Ted_Nugent
Black_Sabbath,Journey_(band)
Black_Sabbath,Thin_Lizzy
Black_Sabbath,Iron_Maiden
Black_Sabbath,Pink_Floyd
Black_Sabbath,Soundgarden
Black_Sabbath,Rainbow_(rock_band)
Black_Sabbath,Cream_(band)
Black_Sabbath,Godsmack
Black_Sabbath,Anthrax_(American_band)
Black_Sabbath,Led_Zeppelin
Black_Sabbath,Halestorm
Black_Sabbath,Sepultura
Black_Sabbath,Metallica
Black_Sabbath,W.A.S.P._(band)
Black_Sabbath,The_Beatles
Black_Sabbath,Slipknot_(band)
Black_Sabbath,Faith_No_More
Black_Sabbath,Audioslave
Black_Sabbath,Great_White
Black_Sabbath,Ozzy_Osbourne
Black_Sabbath,Electric_Light_Orchestra
Black_Sabbath,Quiet_Riot
Black_Sabbath,Judas_Priest
Black_Sabbath,AC/DC
Black_Sabbath,Motörhead
Black_Sabbath,Guns_N'_Roses
Black_Sabbath,Tool_(band)
Black_Sabbath,Foo_Fighters
Black_Sabbath,Jimi_Hendrix
Black_Sabbath,Eagles_(band)
Black_Sabbath,Kiss_(band)
Black_Sabbath,Slayer
Black_Sabbath,Whitesnake
Black_Sabbath,Korn
Black_Sabbath,Boston_(band)
Days_of_the_New,3_Doors_Down
Days_of_the_New,Creed_(band)
Days_of_the_New,Metallica
Days_of_the_New,Finger_Eleven
Days_of_the_New,Guns_N'_Roses
Days_of_the_New,Dave_Matthews_Band
Days_of_the_New,Velvet_Revolver
Days_of_the_New,Train_(band)
Days_of_the_New,Alice_in_Chains
Three_Days_Grace,Buckcherry
Three_Days_Grace,Disturbed_(band)
Three_Days_Grace,Collective_Soul
Three_Days_Grace,Hoobastank
Three_Days_Grace,Volbeat
Three_Days_Grace,The_Tragically_Hip
Three_Days_Grace,Linkin_Park
Three_Days_Grace,Chevelle_(band)
Three_Days_Grace,Bring_Me_the_Horizon
Three_Days_Grace,Evanescence
Three_Days_Grace,Nine_Inch_Nails
Three_Days_Grace,P.O.D.
Three_Days_Grace,Shinedown
Three_Days_Grace,Van_Halen
Three_Days_Grace,Flyleaf_(band)
