node,word_count
10 Years (band),2119
10cc,4478
3 Doors Down,3048
311 (band),3381
38 Special (band),2089
A Perfect Circle,4096
ABBA,12322
AC/DC,
Accept (band),2758
Adam Ant,4983
Aerosmith,10014
AFI (band),3093
Air Supply,1704
Alanis Morissette,6305
Alice Cooper,10061
Alice Cooper (band),2342
Alice in Chains,8254
Alter Bridge,3821
Ambrosia (band),1511
America (band),4721
Anthrax (American band),4348
April Wine,1967
Arcade Fire,5988
Arctic Monkeys,5954
Asia (band),3924
Audioslave,201
Avenged Sevenfold,4961
Avril Lavigne,7498
Awolnation,2685
Bachman–Turner Overdrive,3981
Bad Company,2489
Badfinger,5517
Barenaked Ladies,3757
Bay City Rollers,4744
Beastie Boys,5960
Beck,4531
Bee Gees,9365
Ben Folds Five,1460
Bill Haley & His Comets,4902
Billy Idol,3672
Billy Joel,9825
Billy Squier,2620
Billy Talent,2695
Black Sabbath,9668
Black Stone Cherry,1283
Black Veil Brides,3885
Blink-182,5504
Blondie (band),4053
Bloodhound Gang,2240
Blue October,3728
Blue Öyster Cult,5052
Blues Traveler,2465
Blur (band),4021
Bo Diddley,3901
Bob Dylan,15059
Bob Seger,2781
Bon Jovi,6160
Boston (band),2977
Bowling for Soup,5344
Boys Like Girls,2466
Bread (band),1342
Breaking Benjamin,6917
Bring Me the Horizon,5804
Bruce Springsteen,10444
Bryan Adams,9765
Bryan Ferry,4376
Buckcherry,1878
Buddy Holly,7104
Bullet for My Valentine,3877
Bush (British band),2701
Cage the Elephant,3372
Cake (band),3660
Canned Heat,5160
Catfish and the Bottlemen,2579
Charlie Daniels,1749
Cheap Trick,2013
Chevelle (band),2113
Chicago (band),6491
Chris Cornell,8939
Chris de Burgh,1932
Chris Rea,2311
Christopher Cross,1946
Chubby Checker,3181
Chuck Berry,4438
Cinderella (band),1564
Coheed and Cambria,4180
Cold Chisel,1839
Coldplay,10861
Collective Soul,2634
Counting Crows,3641
Crash Test Dummies,2438
Cream (band),2630
Creed (band),3793
Creedence Clearwater Revival,4979
"Crosby, Stills, Nash & Young",6737
Crowded House,3220
Dallas Green (musician),
Damn Yankees (band),876
Dan Fogelberg,1272
Dashboard Confessional,2171
Daughtry (band),3652
Dave Matthews Band,5500
David Bowie,15284
Days of the New,2125
Death Cab for Cutie,3919
Deep Purple,7648
Def Leppard,6809
Deftones,4628
Depeche Mode,7066
Dio (band),2506
Dire Straits,5668
Disturbed (band),4421
Don Henley,3865
Donovan,4994
Dropkick Murphys,8072
Drowning Pool,1826
Duane Eddy,3969
Duran Duran,7824
Eagles (band),7045
Echo & the Bunnymen,3856
Eddie Cochran,2864
Eddie Money,1037
Edgar Winter,1455
